Frame number,Stellar Flux
1,1598.9108073873947
2,1560.6207086618592
3,1575.4131620445066
4,1560.9487984604773
5,1570.7823017141857
6,1585.6159420178728
7,1564.4850707129708
8,1565.1413354200949
9,1563.8361652530393
10,1568.97335660866
11,1589.7454187858496
12,1570.0550066218811
13,1573.6163409878136
14,1577.696529540578
15,1556.759939820965
16,1575.2730791426345
17,1577.2840148372172
18,1575.6651654613281
19,1579.2495081538837
20,1537.8195341303312
21,1573.3094900809106
22,1580.0490597583002
23,1565.6012085483112
24,1566.9677605069785
25,1575.9880806505598
26,1571.933953174929
27,1552.7130411753351
28,1588.3692468969919
29,1570.9581477750257
30,1562.3053837508837
31,1591.2869137491423
32,1564.5843053328526
33,1553.6677630675681
34,1568.5181896580009
35,1577.9780521399864
36,1557.451989946712
37,1559.9103237234581
38,1563.59068645142
39,1600.4473614045014
40,1564.1596244994951
41,1570.8325352446182
42,1562.6229741454363
43,1548.2210061807996
44,1577.3470660044459
45,1575.5252148785914
46,1572.4595944050852
47,1537.1499895890115
48,1593.4027293286426
49,1563.3188871879452
50,1558.214751048575
51,1555.4025111576193
52,1586.7795155759954
53,1573.6790604893019
54,1568.4977551199356
55,1557.9996615905227
56,1574.5862978857326
57,1573.5517500949024
58,1604.2861162645124
59,1567.3111547373346
60,1558.1621708605016
61,1576.1105812494043
62,1570.4837673291399
63,1588.0949221479575
64,1565.5039370830084
